record_index,collision_class,adjudication_basis,rationale_code
9,C2_strong_domain_neighbor,title_abstract,age_or_vascular_age_domain_neighbor_without_locked_aliasing_conjunction
14,C3_close_neighbor,title_abstract,related_wave_ageing_or_dynamics_without_direct_inverse_collision
18,C2_strong_domain_neighbor,title_abstract,age_or_vascular_age_domain_neighbor_without_locked_aliasing_conjunction
22,C3_close_neighbor,title_abstract,related_wave_ageing_or_dynamics_without_direct_inverse_collision
28,C2_strong_domain_neighbor,title_abstract,age_or_vascular_age_domain_neighbor_without_locked_aliasing_conjunction
29,C2_strong_domain_neighbor,title_abstract,age_or_vascular_age_domain_neighbor_without_locked_aliasing_conjunction
34,C3_close_neighbor,title_abstract,related_wave_ageing_or_dynamics_without_direct_inverse_collision
37,C3_close_neighbor,title_abstract,related_wave_ageing_or_dynamics_without_direct_inverse_collision
53,C3_close_neighbor,title_abstract,related_wave_ageing_or_dynamics_without_direct_inverse_collision
54,C3_close_neighbor,title_abstract,related_wave_ageing_or_dynamics_without_direct_inverse_collision
63,C2_strong_domain_neighbor,title_abstract,age_or_vascular_age_domain_neighbor_without_locked_aliasing_conjunction
66,C2_strong_domain_neighbor,title_abstract,age_or_vascular_age_domain_neighbor_without_locked_aliasing_conjunction
75,C3_close_neighbor,title_abstract,related_wave_ageing_or_dynamics_without_direct_inverse_collision
78,C3_close_neighbor,title_abstract,related_wave_ageing_or_dynamics_without_direct_inverse_collision
79,C3_close_neighbor,title_abstract,related_wave_ageing_or_dynamics_without_direct_inverse_collision
83,C3_close_neighbor,title_abstract,related_wave_ageing_or_dynamics_without_direct_inverse_collision
84,C3_close_neighbor,title_abstract,related_wave_ageing_or_dynamics_without_direct_inverse_collision
88,C3_close_neighbor,title_abstract,related_wave_ageing_or_dynamics_without_direct_inverse_collision
89,C3_close_neighbor,title_abstract,related_wave_ageing_or_dynamics_without_direct_inverse_collision
116,C2_strong_domain_neighbor,title_abstract,age_or_vascular_age_domain_neighbor_without_locked_aliasing_conjunction
140,C2_strong_domain_neighbor,title_abstract,age_or_vascular_age_domain_neighbor_without_locked_aliasing_conjunction
144,C3_close_neighbor,title_abstract,related_wave_ageing_or_dynamics_without_direct_inverse_collision
146,C3_close_neighbor,title_abstract,related_wave_ageing_or_dynamics_without_direct_inverse_collision
151,C3_close_neighbor,title_abstract,related_wave_ageing_or_dynamics_without_direct_inverse_collision
159,C3_close_neighbor,title_abstract,related_wave_ageing_or_dynamics_without_direct_inverse_collision
162,C3_close_neighbor,title_abstract,related_wave_ageing_or_dynamics_without_direct_inverse_collision
176,C2_strong_domain_neighbor,title_abstract,age_or_vascular_age_domain_neighbor_without_locked_aliasing_conjunction
177,C2_strong_domain_neighbor,title_abstract,age_or_vascular_age_domain_neighbor_without_locked_aliasing_conjunction
184,C2_strong_domain_neighbor,title_abstract,age_or_vascular_age_domain_neighbor_without_locked_aliasing_conjunction
201,C3_close_neighbor,title_abstract,related_wave_ageing_or_dynamics_without_direct_inverse_collision
