record_index,axis_mask_hex,primary_role,high_relevance
450,001f,VAGE,1
451,0240,SYS,0
452,0200,CTX,0
453,0060,SYS,1
454,0000,CTX,0
455,0000,CTX,0
456,0000,CTX,0
457,0000,CTX,0
458,0000,CTX,0
459,0101,CTX,0
460,0000,CTX,0
461,0000,CTX,0
462,0000,CTX,0
463,0200,CTX,0
464,0001,CTX,0
465,0000,CTX,0
466,0000,CTX,0
467,0000,CTX,0
468,1001,CTX,0
469,1000,CTX,0
470,001b,AGE,1
471,0000,CTX,0
472,0000,CTX,0
473,0100,CTX,0
474,0000,CTX,0
475,0240,SYS,0
476,0000,CTX,0
477,0002,WAV,0
478,0001,CTX,0
479,0000,CTX,0
480,0000,CTX,0
481,0141,SYS,0
482,0000,CTX,0
483,0040,SYS,0
484,0000,CTX,0
485,0000,CTX,0
486,0000,CTX,0
487,0011,AGE,0
488,0000,CTX,0
489,0000,CTX,0
490,1111,AGE,0
491,0200,CTX,0
492,0000,CTX,0
493,0021,AGE,1
494,0040,SYS,0
495,0211,AGE,0
496,0000,CTX,0
497,0000,CTX,0
498,0540,SYS,0
499,0017,VAGE,1
500,0000,CTX,0
501,0000,CTX,0
502,0000,CTX,0
503,0000,CTX,0
504,0000,CTX,0
505,0000,CTX,0
506,0000,CTX,0
507,0000,CTX,0
508,0000,CTX,0
509,0200,CTX,0
510,0001,CTX,0
511,0000,CTX,0
512,0200,CTX,0
513,0001,CTX,0
514,0200,CTX,0
515,1000,CTX,0
516,0000,CTX,0
517,0000,CTX,0
518,0000,CTX,0
519,0200,CTX,0
520,0000,CTX,0
521,0010,WAV,0
522,0000,CTX,0
523,0840,SYS,0
524,0000,CTX,0
525,0000,CTX,0
526,0000,CTX,0
527,0000,CTX,0
528,0000,CTX,0
529,0140,SYS,0
530,0007,VAGE,1
531,0200,CTX,0
532,0000,CTX,0
533,001b,AGE,1
534,0000,CTX,0
535,0000,CTX,0
536,0001,CTX,0
537,0000,CTX,0
538,003b,AGE,1
539,0000,CTX,0
540,000a,WAV,0
541,0001,CTX,0
542,0000,CTX,0
543,0000,CTX,0
544,0000,CTX,0
545,1000,CTX,0
546,0000,CTX,0
547,0200,CTX,0
548,0001,CTX,0
549,0011,AGE,0
550,0000,CTX,0
551,001f,VAGE,1
552,0001,CTX,0
553,0001,CTX,0
554,0100,CTX,0
555,0000,CTX,0
556,0000,CTX,0
557,0000,CTX,0
558,0000,CTX,0
559,0100,CTX,0
560,0200,CTX,0
561,0040,SYS,1
562,0000,CTX,0
563,0000,CTX,0
564,0000,CTX,0
565,0000,CTX,0
566,0000,CTX,0
567,0200,CTX,0
568,041f,VAGE,1
569,0201,CTX,0
570,0000,CTX,0
571,0000,CTX,0
572,0001,CTX,0
573,0228,WAV,0
574,100f,VAGE,1
575,0000,CTX,0
576,0000,CTX,0
577,0633,AGE,1
578,0200,CTX,0
579,0000,CTX,0
580,021b,AGE,1
581,0240,SYS,1
582,0000,CTX,0
583,0000,CTX,0
584,0360,SYS,0
585,0060,SYS,0
586,0000,CTX,0
587,0000,CTX,0
588,0005,VAGE,1
589,0000,CTX,0
590,0201,CTX,0
591,0000,CTX,0
592,0200,CTX,0
593,0c13,AGE,1
594,0011,AGE,0
595,0000,CTX,0
596,0000,CTX,0
597,022b,AGE,1
598,001b,AGE,1
599,0a12,WAV,0
600,0000,CTX,0
601,0000,CTX,0
602,0011,AGE,0
603,0000,CTX,0
604,0000,CTX,0
605,0000,CTX,0
606,0201,CTX,0
607,0000,CTX,0
608,0000,CTX,0
609,0000,CTX,0
610,0000,CTX,0
611,0000,CTX,0
612,0040,SYS,1
613,0001,CTX,0
614,0201,CTX,0
615,0000,CTX,0
616,0040,SYS,0
617,0000,CTX,0
618,0040,SYS,0
619,0412,WAV,0
620,0040,SYS,0
621,0000,CTX,0
622,0000,CTX,0
623,000b,AGE,1
624,0200,CTX,0
625,0000,CTX,0
626,0000,CTX,0
627,0000,CTX,0
628,0000,CTX,0
629,0100,CTX,0
630,0000,CTX,0
631,0200,CTX,0
632,0b1b,AGE,1
633,0003,AGE,1
634,0000,CTX,0
635,0000,CTX,0
636,0000,CTX,0
637,0240,SYS,0
638,0000,CTX,0
639,001b,AGE,1
640,0000,CTX,0
641,0000,CTX,0
642,011f,VAGE,1
643,0000,CTX,0
644,0000,CTX,0
645,0011,AGE,0
646,0000,CTX,0
647,0001,CTX,0
648,0040,SYS,0
649,0000,CTX,0
650,0000,CTX,0
651,0010,WAV,0
652,0000,CTX,0
653,0000,CTX,0
654,0000,CTX,0
655,0000,CTX,0
656,003a,WAV,0
657,0000,CTX,0
658,0000,CTX,0
659,0000,CTX,0
660,1000,CTX,0
661,0000,CTX,0
662,0340,SYS,1
663,0001,CTX,0
664,0000,CTX,0
665,0000,CTX,0
666,0200,CTX,0
667,0000,CTX,0
668,0000,CTX,0
669,0100,CTX,0
670,0000,CTX,0
671,0000,CTX,0
672,0021,AGE,0
673,0005,VAGE,1
674,0000,CTX,0
