record_index,audit_status,adjudication_basis
40,true_negative_for_locked_concept,title_abstract
51,true_negative_for_locked_concept,title_abstract
76,true_negative_for_locked_concept,title_abstract
107,true_negative_for_locked_concept,title_abstract
126,true_negative_for_locked_concept,title_abstract
153,true_negative_for_locked_concept,title_abstract
204,true_negative_for_locked_concept,title_abstract
255,true_negative_for_locked_concept,title_abstract
283,true_negative_for_locked_concept,title_abstract
285,true_negative_for_locked_concept,title_abstract
292,true_negative_for_locked_concept,title_abstract
321,true_negative_for_locked_concept,title_abstract
342,true_negative_for_locked_concept,title_abstract
343,true_negative_for_locked_concept,title_abstract
359,true_negative_for_locked_concept,title_abstract
368,true_negative_for_locked_concept,title_abstract
396,true_negative_for_locked_concept,title_abstract
428,true_negative_for_locked_concept,title_abstract
429,true_negative_for_locked_concept,title_abstract
462,true_negative_for_locked_concept,title_abstract
481,true_negative_for_locked_concept,title_abstract
517,true_negative_for_locked_concept,title_abstract
525,true_negative_for_locked_concept,title_abstract
543,true_negative_for_locked_concept,title_abstract
544,true_negative_for_locked_concept,title_abstract
560,true_negative_for_locked_concept,title_abstract
583,true_negative_for_locked_concept,title_abstract
586,true_negative_for_locked_concept,title_abstract
591,true_negative_for_locked_concept,title_abstract
605,true_negative_for_locked_concept,title_abstract
636,true_negative_for_locked_concept,title_abstract
645,true_negative_for_locked_concept,title_abstract
680,true_negative_for_locked_concept,title_abstract
689,true_negative_for_locked_concept,title_abstract
692,true_negative_for_locked_concept,title_abstract
698,true_negative_for_locked_concept,title_abstract
699,true_negative_for_locked_concept,title_abstract
703,true_negative_for_locked_concept,title_abstract
709,true_negative_for_locked_concept,title_abstract
719,true_negative_for_locked_concept,title_abstract
721,true_negative_for_locked_concept,title_abstract
784,true_negative_for_locked_concept,title_abstract
785,true_negative_for_locked_concept,title_abstract
794,true_negative_for_locked_concept,title_abstract
831,true_negative_for_locked_concept,title_abstract
834,true_negative_for_locked_concept,title_abstract
842,true_negative_for_locked_concept,title_abstract
862,true_negative_for_locked_concept,title_abstract
867,true_negative_for_locked_concept,title_abstract
886,true_negative_for_locked_concept,title_abstract
